"PotID","Pot.ID.QR.Code","stripNo","BinNo","plotType","divLevel","trt","typePlot"
233,"233-B-mono-1-C","B",5,"mono",1,"C",NA
440,"440-D-mono-1-S","D",4,"mono",1,"S",NA
2,"2-A-mono-1-C","A",1,"mono",1,"C",NA
9,"9-A-mono-1-C","A",1,"mono",1,"C",NA
368,"368-D-mono-1-S","D",1,"mono",1,"S",NA
439,"439-D-mono-1-S","D",4,"mono",1,"S",NA
367,"367-D-mono-1-C","D",1,"mono",1,"C",NA
392,"392-D-mono-1-S","D",2,"mono",1,"S",NA
362,"362-D-div-20-S","D",1,"div",20,"S",NA
363,"363-D-mono-1-C","D",1,"mono",1,"C",NA
390,"390-D-pred-10-S","D",2,"pred",10,"S","SimClimFdiv"
213,"213-B-mono-1-C","B",4,"mono",1,"C",NA
120,"120-A-mono-1-S","A",5,"mono",1,"S",NA
383,"383-D-mono-1-S","D",1,"mono",1,"S",NA
331,"331-C-mono-1-S","C",4,"mono",1,"S",NA
436,"436-D-mono-1-S","D",4,"mono",1,"S",NA
200,"200-B-mono-1-S","B",4,"mono",1,"S",NA
202,"202-B-mono-1-S","B",4,"mono",1,"S",NA
209,"209-B-mono-1-C","B",4,"mono",1,"C",NA
230,"230-B-mono-1-S","B",5,"mono",1,"S",NA
232,"232-B-pred-10-C","B",5,"pred",10,"C","LF"
246,"246-C-mono-1-C","C",1,"mono",1,"C",NA
247,"247-C-div-10-C","C",1,"div",10,"C",NA
376,"376-D-mono-1-C","D",1,"mono",1,"C",NA
378,"378-D-mono-1-S","D",1,"mono",1,"S",NA
444,"444-D-pred-20-S","D",4,"pred",20,"S","Gdiv"
98,"98-A-mono-1-S","A",5,"mono",1,"S",NA
23,"23-A-mono-1-C","A",1,"mono",1,"C",NA
478,"478-D-mono-1-C","D",5,"mono",1,"C",NA
448,"448-D-mono-1-C","D",4,"mono",1,"C",NA
386,"386-D-mono-1-S","D",2,"mono",1,"S",NA
394,"394-D-mono-1-C","D",2,"mono",1,"C",NA
72,"72-A-mono-1-S","A",3,"mono",1,"S",NA
463,"463-D-mono-1-S","D",5,"mono",1,"S",NA
207,"207-B-mono-1-C","B",4,"mono",1,"C",NA
27,"27-A-mono-1-S","A",2,"mono",1,"S",NA
40,"40-A-mono-1-S","A",2,"mono",1,"S",NA
41,"41-A-mono-1-C","A",2,"mono",1,"C",NA
78,"78-A-mono-1-S","A",4,"mono",1,"S",NA
218,"218-B-mono-1-C","B",5,"mono",1,"C",NA
296,"296-C-mono-1-S","C",3,"mono",1,"S",NA
397,"397-D-mono-1-C","D",2,"mono",1,"C",NA
236,"236-B-mono-1-S","B",5,"mono",1,"S",NA
68,"68-A-mono-1-C","A",3,"mono",1,"C",NA
1,"1-A-mono-1-C","A",1,"mono",1,"C",NA
128,"128-B-mono-1-C","B",1,"mono",1,"C",NA
130,"130-B-mono-1-C","B",1,"mono",1,"C",NA
264,"264-C-mono-1-C","C",1,"mono",1,"C",NA
121,"121-B-mono-1-S","B",1,"mono",1,"S",NA
365,"365-D-mono-1-S","D",1,"mono",1,"S",NA
201,"201-B-mono-1-C","B",4,"mono",1,"C",NA
384,"384-D-mono-1-S","D",1,"mono",1,"S",NA
214,"214-B-mono-1-S","B",4,"mono",1,"S",NA
438,"438-D-mono-1-C","D",4,"mono",1,"C",NA
251,"251-C-mono-1-C","C",1,"mono",1,"C",NA
421,"421-D-mono-1-C","D",3,"mono",1,"C",NA
467,"467-D-mono-1-S","D",5,"mono",1,"S",NA
281,"281-C-mono-1-S","C",2,"mono",1,"S",NA
248,"248-C-mono-1-S","C",1,"mono",1,"S",NA
85,"85-A-mono-1-C","A",4,"mono",1,"C",NA
109,"109-A-mono-1-C","A",5,"mono",1,"C",NA
116,"116-A-mono-1-C","A",5,"mono",1,"C",NA
119,"119-A-mono-1-C","A",5,"mono",1,"C",NA
160,"160-B-mono-1-S","B",2,"mono",1,"S",NA
83,"83-A-mono-1-C","A",4,"mono",1,"C",NA
263,"263-C-mono-1-C","C",1,"mono",1,"C",NA
276,"276-C-mono-1-S","C",2,"mono",1,"S",NA
321,"321-C-mono-1-C","C",4,"mono",1,"C",NA
332,"332-C-mono-1-S","C",4,"mono",1,"S",NA
415,"415-D-mono-1-S","D",3,"mono",1,"S",NA
54,"54-A-mono-1-C","A",3,"mono",1,"C",NA
151,"151-B-mono-1-S","B",2,"mono",1,"S",NA
189,"189-B-mono-1-S","B",3,"mono",1,"S",NA
204,"204-B-mono-1-C","B",4,"mono",1,"C",NA
226,"226-B-mono-1-C","B",5,"mono",1,"C",NA
255,"255-C-mono-1-C","C",1,"mono",1,"C",NA
258,"258-C-mono-1-C","C",1,"mono",1,"C",NA
265,"265-C-mono-1-S","C",2,"mono",1,"S",NA
268,"268-C-mono-1-S","C",2,"mono",1,"S",NA
270,"270-C-mono-1-C","C",2,"mono",1,"C",NA
277,"277-C-mono-1-C","C",2,"mono",1,"C",NA
280,"280-C-mono-1-C","C",2,"mono",1,"C",NA
293,"293-C-mono-1-C","C",3,"mono",1,"C",NA
